tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
samtools_NC_011742.1,samtools,13,13094.000000000002,0.764479215319944,0.7653415010958199
samtools_CP010171.1,samtools,13,14153.999999999998,0.8263661840261559,0.8302015593001113
samtools_NC_007779.1,samtools,13,14119.0,0.8243227463801962,0.8267389429813526
samtools_NZ_CP016007.1,samtools,13,12399.0,0.7239023820644559,0.7260042036431573
samtools_NZ_CP013483.1,samtools,13,14303.0,0.8350653900046707,0.837548952682067
samtools_CP010116.1,samtools,13,14932.0,0.8717888836992059,0.8744071785290832
samtools_CP010226.1,samtools,13,13508.0,0.7886501634750117,0.791061869004418
samtools_CP010170.1,samtools,13,13969.0,0.8155651564689398,0.8181789602270676
pandora_illumina_withdenovo_global_genotyping,pandora with denovo,14,16671.0,0.8283726708074535,0.8892812777284514
snippy_NC_011993.1,snippy,14,16532.0,0.8214658385093168,0.8266122448979546
snippy_NC_022648.1,snippy,14,16666.0,0.8281242236024845,0.8353043478260818
snippy_CP010121.1,snippy,14,18579.0,0.9231801242236024,0.9287914818101148
snippy_NZ_LM995446.1,snippy,14,17627.0,0.8758757763975156,0.8814019520851799
snippy_NZ_LT632320.1,snippy,14,16671.0,0.8283726708074535,0.8360993788819809
snippy_NZ_CP018109.1,snippy,14,17425.0,0.8658385093167702,0.8724294587400154
snippy_NC_017646.1,snippy,14,18790.0,0.933664596273292,0.9398083407275928
snippy_CP018206.1,snippy,14,19008.000000000004,0.944496894409938,0.9519361135758639
snippy_NZ_CP011134.1,snippy,14,18759.0,0.9321242236024844,0.9395137533274164
snippy_NZ_CP008697.1,snippy,14,19127.0,0.9504099378881988,0.9573522626441878
snippy_CP010230.1,snippy,14,18206.0,0.9046459627329192,0.9111339840283916
snippy_NC_010498.1,snippy,14,18667.0,0.927552795031056,0.9342431233362888
snippy_NZ_CP015228.1,snippy,14,18520.0,0.9202484472049688,0.9265909494232464
snippy_NZ_CP009859.1,snippy,14,18954.0,0.9418136645962732,0.9494161490683228
snippy_NZ_HG941718.1,snippy,14,16737.0,0.8316521739130435,0.8378065661046968
snippy_CU928163.2,snippy,14,18650.000000000004,0.9267080745341616,0.932855368234251
snippy_NC_011742.1,snippy,14,16954.0,0.8424347826086956,0.84811002661934
snippy_CP010171.1,snippy,14,17770.0,0.8829813664596273,0.8880638864241339
snippy_NC_007779.1,snippy,14,17951.0,0.8919751552795031,0.8974871339840262
snippy_NZ_CP016007.1,snippy,14,16601.0,0.8248944099378882,0.8296681455190743
snippy_NZ_CP013483.1,snippy,14,17762.000000000004,0.8825838509316771,0.8886459627329168
snippy_CP010116.1,snippy,14,18648.0,0.9266086956521741,0.9327382431233352
snippy_CP010226.1,snippy,14,17022.0,0.8458136645962733,0.8522803904170341
snippy_CP010170.1,snippy,14,17933.0,0.8910807453416149,0.8970115350487994
samtools_NC_011993.1,samtools,14,16727.0,0.8311552795031056,0.8325998225377085
samtools_NC_022648.1,samtools,14,16878.0,0.8386583850931677,0.8402555456965374
samtools_CP010121.1,samtools,14,18704.0,0.929391304347826,0.9322661934338948
samtools_NZ_LM995446.1,samtools,14,17784.0,0.8836770186335404,0.8860230700976023
samtools_NZ_LT632320.1,samtools,14,16914.0,0.8404472049689441,0.8416362023070073
samtools_NZ_CP018109.1,samtools,14,17628.0,0.8759254658385093,0.8780976042590927
samtools_NC_017646.1,samtools,14,19023.0,0.9452422360248448,0.9452635314995536
samtools_CP018206.1,samtools,14,19183.0,0.9531925465838508,0.955031055900621
samtools_NZ_CP011134.1,samtools,14,18977.0,0.9429565217391304,0.9451109139307876
samtools_NZ_CP008697.1,samtools,14,19324.0,0.9601987577639752,0.9622679680567868
samtools_CP010230.1,samtools,14,18388.0,0.9136894409937888,0.9159609582963608
samtools_NC_010498.1,samtools,14,18863.0,0.9372919254658384,0.9391268855368212
samtools_NZ_CP015228.1,samtools,14,18726.0,0.9304844720496894,0.9323833185448072
samtools_NZ_CP009859.1,samtools,14,19164.0,0.9522484472049688,0.9544525288376208
samtools_NZ_HG941718.1,samtools,14,16929.0,0.8411925465838509,0.8427293700088705
samtools_CU928163.2,samtools,14,18788.0,0.9335652173913044,0.9363975155279494
samtools_NC_011742.1,samtools,14,17160.0,0.8526708074534162,0.8546938775510171
samtools_CP010171.1,samtools,14,17934.0,0.8911304347826087,0.8931393078970699
samtools_NC_007779.1,samtools,14,18105.0,0.8996273291925466,0.9021047027506638
