tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_8D,0.8802124666588357,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_8D,0.9330340387860522,W3110,Snippy / W3110 (NC_007779.1)
Snippy,H131800734,0.93739123985143,ST648,Snippy / ST648 (NZ_CP008697.1)
Pandora illumina with denovo,Escherichia_coli_MSB1_3B,0.8957505581412949,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_9A,0.8948358103153925,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MSB1_6C,0.9235904307453524,C1,Snippy / C1 (CP010116.1)
Snippy,CFT073,0.8752268267568145,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_4E,0.902878454318214,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MSB2_1A,0.9276866868650864,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MSB1_7A,0.9355327702675844,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,0.8536044394959617,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_9A,0.8580801562757878,W3110,Snippy / W3110 (NC_007779.1)
