tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_8D,20,0.9862191160547298,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9982281720641796,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_9A,20,0.9603151157065484,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_9A,20,0.9603151157065484,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_9A,20,0.9970457902511078,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9965534219596258,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_9A,20,0.996848842934515,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9909404234367308,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9964549483013294,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9978335795174792,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9973412112259972,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9977351058591828,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9948793697685868,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9993106843919252,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9934022648941409,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9977351058591828,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9919251600196948,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_9A,20,0.999015263417036,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9965534219596258,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9982274741506648,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_9A,20,0.9960610536681438,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9967503692762186,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9949778434268832,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9972427375677008,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9962580009847366,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_9A,20,0.9711472181191532,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_9A,20,0.985425898572132,S1,Snippy / S1 (CP010226.1)
